School Name,2020-21,2019-20,2018-19,2017-18,2016-17,Data Change
Horace Mann Elementary School,235,272,294,345,377,142
Brookfield Village Elementary School,213,216,232,296,322,109
Carl B. Munck Elementary School,227,232,228,236,239,12
Grass Valley Elementary,243,254,269,260,260,17
Fred T. Korematsu Discovery Academy,213,245,295,339,391,178
Hillcrest Elementary School,394,400,388,387,377,-17
Parker K-8,257,268,314,370,288,31
Community Day,19,23,25,22,21,2
La Escuelita Elementary School,408,389,406,417,404,-4
Rise Community Elementary School,214,227,233,242,259,45
New Highland Academy,317,348,356,351,354,37
,,,,,,
Data Source: California Education Department,EdData,,,,,
Link: https://www.caschooldashboard.org/search,https://www.ed-data.org/district/Alameda/Oakland-Unified,,,,,
,,,,,,
Note: Need to double check numbers,,,,,,