School Name,school_type,school_type,result,welcoming schools,SDC welcoming school,distance,# students moved,# sdc moved
Parker K-8,Elementary,K-8,close,,,0.8-1.6 mi,205,10
Community Day,Alternative Education,6-12,close,,,N/A,9,N/A
La Esculatia Elementary School,Elementary/Middle,TK-8,shrink to TK-5,,,1.5-1.7 mi,92,13
Rise Community Elementary School,Elementary,TK-5,merge with NHA,,,N/A,178,N/A
New Highland Academy,Elementary,K-5,merge with RC,,,N/A,272,N/A
Horace Mann Elementary School,Elementary,TK-5,close,,,0.6-2.0 mi,179,N/A
Brookfield Village Elementary School,Elementary,TK-5,close,,,1.3-1.7 mi,154,40/32
Carl B. Munck Elementary School,Elementary,TK-5,close,,,1.7-3.8 mi,180,36/32
Grass Valley Elementary,Elementary,K-5,close,,,2.9-3.9 mi,133,65
Fred T. Korematsu Discovery Academy,Elementary,K-5,close,,,0-1.3 mi,187,26
Hillcrest Elementary School,Elementary,K-8,shrink to K-5,,,1.8-2.8 mi,93,N/A